i,x_i,y*_i,y_i,|y*_i-y_i|
0,0,3,3,0
1,0.025,3.075307242349309,3.075307242208288,1.4102097267709723e-10
2,0.05,3.1512075364018104,3.1512075361173597,2.844506852284212e-10
3,0.075,3.22766780067637,3.227667800246595,4.2977488234896555e-10
4,0.1,3.304653663625346,3.3046536630488723,5.764735355739958e-10
5,0.125,3.3821294044120496,3.382129403688027,7.24022619635889e-10
6,0.15,3.460057894101788,3.4600578932298904,8.718976651778121e-10
7,0.175,3.5384005377110386,3.5384005366914635,1.019575091021352e-09
8,0.2,3.6171172175907413,3.6171172164242065,1.166534868701774e-09
9,0.225,3.6961662386497967,3.69616623733753,1.3122667397169607e-09
10,0.25,3.775504275953221,3.775504274496949,1.4562719918842504e-09
11,0.275,3.8550863252556327,3.8550863236575683,1.5980643475188572e-09
12,0.3,3.9348656570543326,3.934865655317156,1.7371766247720188e-09
13,0.325,4.014793774766728,4.014793772893565,1.873162958077046e-09
14,0.35,4.094820377653821,4.09482037564822,2.0056001304169513e-09
15,0.375,4.174893329124402,4.1748933269903095,2.1340929023949684e-09
16,0.4,4.25495863106303,4.254958628804756,2.2582735681453414e-09
17,0.425,4.334960404828351,4.334960402450543,2.377808172582263e-09
18,0.45,4.414840879566474,4.414840877074076,2.4923973995782944e-09
19,0.475,4.494540388476366,4.494540385874588,2.6017783483212042e-09
20,0.5,4.5739973736504895,4.573997370944763,2.7057263096708084e-09
21,0.525,4.65314840009349,4.653148397289434,2.8040556543373896e-09
22,0.55,4.731928179494728,4.731928176598105,2.896623385595376e-09
23,0.575,4.810269604296308,4.810269601312984,2.9833238102128234e-09
24,0.6,4.888103792557063,4.888103789492965,3.064097420235612e-09
25,0.625,4.965360144064501,4.965360140925576,3.1389255639169278e-09
26,0.65,5.041966408091051,5.041966404883226,3.2078251166467453e-09
27,0.675,5.117848763128171,5.117848759857312,3.270859139092863e-09
28,0.7,5.192931908862112,5.192931905533987,3.3281253308814485e-09
29,0.725,5.267139170578773,5.267139167199016,3.379756918775456e-09
30,0.75,5.340392616102349,5.340392612676427,3.4259217684962096e-09
31,0.775,5.412613185284041,5.412613181817223,3.466817943831302e-09
32,0.8,5.4837208319633195,5.483720828460647,3.502672818456176e-09
33,0.825,5.553634678226063,5.553634674692325,3.5337377468636078e-09
34,0.85,5.6222731806818365,5.6222731771215555,3.560280958936346e-09
35,0.875,5.6895543083777635,5.689554304795171,3.582592889017633e-09
36,0.9,5.75539573185958,5.755395728258604,3.600976405948586e-09
37,0.925,5.8197150227828605,5.81971501916712,3.6157405958192612e-09
38,0.95,5.882429863369923,5.882429859742719,3.6272043146823307e-09
39,0.975,5.943458264901854,5.94345826126617,3.635683754055208e-09
40,1.0,6.002718794331646,6.0027187906901505,3.6414951054553057e-09
