i,x_i,y*_i,y_i,|y*_i-y_i|
0,0,3.0,3.0,0.0
1,0.1,3.304653663625346,3.304653514063349,1.495619970093287e-07
2,0.2,3.6171172175907413,3.6171169142013846,3.0338935674834033e-07
3,0.3,3.9348656570543326,3.9348652034998217,4.535545108375061e-07
4,0.4,4.25495863106303,4.254976111694306,1.7480631276711733e-05
5,0.5,4.5739973736504895,4.574030822319733,3.3448669243263396e-05
6,0.6,4.888103792557063,4.888142844543832,3.905198676967814e-05
7,0.7,5.192931908862112,5.192963700227482,3.179136536957117e-05
8,0.8,5.4837208319633195,5.483728553850656,7.721887336664679e-06
9,0.9,5.75539573185958,5.7553595640746025,3.6167784977614303e-05
10,1.0,6.002718794331646,6.002618459032121,0.0001003352995248008
