i,x_i,y*_i,y_i,|y*_i-y_i|
0,0,3.0,3.0,0.0
1,0.025,3.075307242349309,3.075307242208288,1.4102097267709723e-10
2,0.05,3.1512075364018104,3.15120753611736,2.8445024113921136e-10
3,0.075,3.22766780067637,3.227667800246595,4.2977488234896555e-10
4,0.1,3.304653663625346,3.3046536838538345,2.0228488661899746e-08
5,0.125,3.3821294044120496,3.382129446418637,4.200658754172082e-08
6,0.15,3.460057894101788,3.4600579576423094,6.354052128898502e-08
7,0.175,3.5384005377110386,3.5384006230949594,8.538392082257928e-08
8,0.2,3.6171172175907413,3.6171173248318897,1.0724114840598986e-07
9,0.225,3.6961662386497967,3.696166367536609,1.2888681233391708e-07
10,0.25,3.775504275953221,3.7755044260774637,1.5012424281479753e-07
11,0.275,3.8550863252556327,3.855086495989021,1.7073338831607998e-07
12,0.3,3.9348656570543326,3.9348658475338776,1.9047954502582343e-07
13,0.325,4.014793774766728,4.014793983882494,2.0911576559257128e-07
14,0.35,4.094820377653821,4.094820604037316,2.263834950610999e-07
15,0.375,4.174893329124402,4.174893571138523,2.4201412074376094e-07
16,0.4,4.25495863106303,4.254958886793822,2.557307920980634e-07
17,0.425,4.334960404828351,4.334960672078801,2.6725045021436244e-07
18,0.45,4.414840879566474,4.414841155852577,2.7628610332897097e-07
19,0.475,4.494540388476366,4.494540671025711,2.825493448099792e-07
20,0.5,4.5739973736504895,4.573997659403575,2.857530851940737e-07
21,0.525,4.65314840009349,4.653148685707989,2.8561449916253423e-07
22,0.55,4.731928179494728,4.731928461352875,2.8185814660020014e-07
23,0.575,4.810269604296308,4.810269878515571,2.742192632965157e-07
24,0.6,4.888103792557063,4.888104055004229,2.6244716622159103e-07
25,0.625,4.965360144064501,4.9653603903732595,2.463087582782464e-07
26,0.65,5.041966408091051,5.041966633683141,2.2559208989747503e-07
27,0.675,5.117848763128171,5.117848963238086,2.001099153048358e-07
28,0.7,5.192931908862112,5.192932078565337,1.6970322480602817e-07
29,0.725,5.267139170578773,5.267139304823456,1.3424468292555503e-07
30,0.75,5.340392616102349,5.340392709744275,9.364192621319489e-08
31,0.775,5.412613185284041,5.412613233124711,4.7840670092114124e-08
32,0.8,5.4837208319633195,5.483720828790884,3.172435647513794e-09
33,0.825,5.553634678226063,5.55363461885881,5.9367252447373176e-08
34,0.85,5.6222731806818365,5.6222730600138835,1.2066795296306054e-07
35,0.875,5.6895543083777635,5.689554121426524,1.869512393781747e-07
36,0.9,5.75539573185958,5.755395473814574,2.580450058076167e-07
37,0.925,5.8197150227828605,5.819714689055354,3.337275060744105e-07
38,0.95,5.882429863369923,5.8824294496428555,4.137270677162519e-07
39,0.975,5.943458264901854,5.943457767179483,4.977223708735323e-07
40,1.0,6.002718794331646,6.002718208988313,5.853433329150448e-07
