i,x_i,y*_i,y_i,|y*_i-y_i|
0,0,3,3,0
1,0.05,3.1512075364018104,3.151207531830336,4.571474310210988e-09
2,0.1,3.304653663625346,3.3046536543582263,9.267119516209732e-09
3,0.15,3.460057894101788,3.460057880080123,1.402166516228931e-08
4,0.2,3.6171172175907413,3.617117198821219,1.8769522380779335e-08
5,0.25,3.775504275953221,3.7755042525069373,2.3446283581307625e-08
6,0.3,3.9348656570543326,3.9348656290640474,2.799028520072966e-08
7,0.35,4.094820377653821,4.094820345309641,3.234417977893145e-08
8,0.4,4.25495863106303,4.254958594606576,3.6456453855748805e-08
9,0.45,4.414840879566474,4.4148408392836505,4.028282329926469e-08
10,0.5,4.5739973736504895,4.573997329863045,4.378744478117369e-08
11,0.55,4.731928179494728,4.731928132550883,4.694384525549822e-08
12,0.6,4.888103792557063,4.888103742821539,4.9735524143557086e-08
13,0.65,5.041966408091051,5.04196635593488,5.2156170937678326e-08
14,0.7,5.192931908862112,5.19293185465267,5.420944226841584e-08
15,0.75,5.340392616102349,5.340392560194019,5.590833040969301e-08
16,0.8,5.4837208319633195,5.483720774689207,5.727411256373216e-08
17,0.85,5.6222731806818365,5.62227312234689,5.833494665097305e-08
18,0.9,5.75539573185958,5.755395672735381,5.912419887010856e-08
19,0.95,5.882429863369923,5.8824298036913145,5.967860872146957e-08
20,1.0,6.002718794331646,6.002718734295239,6.003640695695367e-08
